Repo,MergeCommit,File,Diff3_Conflict,CSDiff_Conflict,CSDiff_Equals_Diff3,CSDiff_Equals_Manual
stack,cfb96c2,src/test/Stack/ConfigSpec.hs,1,0,False,False
stack,cfb96c2,src/test/Stack/NixSpec.hs,1,0,False,True
stack,3fb0976,subs/pantry/src/Pantry.hs,1,0,False,False
stack,7534592,src/Stack/Config/Nix.hs,1,3,False,False
stack,7534592,src/Stack/Package.hs,1,1,False,False
stack,519a06a,src/test/Stack/StoreSpec.hs,1,1,False,False
stack,84641ee,subs/pantry/src/Pantry.hs,1,1,False,False
stack,84641ee,subs/pantry/src/Pantry/Types.hs,2,2,False,False
stack,3e378a7,src/Stack/Upload.hs,2,1,False,False
stack,3efa406,src/Stack/Types/NamedComponent.hs,2,2,False,False
stack,4d560ee,src/Stack/Ghci.hs,8,27,False,False
stack,4d560ee,src/Stack/Types/Config.hs,3,3,False,False
stack,755fed1,src/Stack/Package.hs,1,1,False,False
stack,755fed1,src/Stack/Types/NamedComponent.hs,1,0,False,False
stack,6b451df,src/Stack/Snapshot.hs,1,1,False,False
stack,1f3cc1f,src/Stack/Package.hs,2,2,False,False
stack,0d848de,src/Stack/Build/Cache.hs,3,6,False,False
stack,0d848de,src/Stack/Build/Execute.hs,2,6,False,False
stack,0d848de,src/Stack/Build/Source.hs,9,37,False,False
stack,0d848de,src/Stack/Constants/Config.hs,4,6,False,False
stack,0d848de,src/Stack/SDist.hs,1,3,False,False
stack,0d848de,src/Stack/Types/Package.hs,2,4,False,False
stack,f27eb40,src/Stack/Config.hs,1,1,False,False
stack,f27eb40,src/Stack/Fetch.hs,1,1,False,False
stack,f27eb40,src/Stack/Setup.hs,4,4,False,False
stack,f27eb40,src/Stack/Types/Config.hs,1,1,False,False
stack,1ee92a2,src/Stack/Build/Execute.hs,1,1,False,False
stack,1ee92a2,src/Stack/PackageLocation.hs,1,2,False,False
stack,1ee92a2,src/System/Process/PagerEditor.hs,1,0,False,False
stack,c447ed6,src/Stack/Build/Execute.hs,1,1,False,False
stack,c447ed6,src/Stack/Prelude.hs,4,4,False,False
stack,c447ed6,src/test/Stack/PackageDumpSpec.hs,3,3,False,False
stack,fa878f9,src/Stack/Build.hs,1,0,False,False
stack,fa878f9,src/Stack/BuildPlan.hs,1,1,False,False
stack,fa878f9,src/Stack/Package.hs,2,0,False,False
stack,cc95875,src/Stack/Setup.hs,2,2,False,False
stack,9ca1a8a,src/Stack/Docker.hs,1,1,False,False
stack,696d9b4,src/Stack/BuildPlan.hs,1,1,False,False
stack,696d9b4,src/Stack/Fetch.hs,2,2,False,False
stack,696d9b4,src/Stack/PackageIndex.hs,2,2,False,False
stack,696d9b4,src/Stack/Types/BuildPlan.hs,2,4,False,False
stack,e13988b,src/Stack/Build/Execute.hs,1,1,False,False
stack,f3e3a00,src/Stack/Config.hs,2,2,False,False
stack,87068d8,src/Stack/Build/Source.hs,1,1,False,False
stack,87068d8,src/Stack/New.hs,3,4,False,False
stack,87068d8,src/main/Main.hs,3,4,False,False
stack,0697eb1,src/Stack/Build/Installed.hs,1,1,False,False
stack,0697eb1,src/Stack/Docker.hs,4,3,False,False
stack,3d6475f,src/Stack/Setup.hs,1,2,False,False
stack,c291007,src/Stack/Setup.hs,1,2,False,False
stack,85e75d2,src/Stack/Nix.hs,1,0,False,False
stack,3bd643b,src/Stack/Image.hs,1,2,False,False
stack,2b34483,src/Stack/Types/Build.hs,1,1,False,False
stack,f236d20,src/Stack/Build/ConstructPlan.hs,2,1,False,False
stack,0c5714a,src/Stack/Sig/GPG.hs,1,1,False,False
stack,c5d6816,src/Stack/Constants.hs,10,13,False,False
stack,c5d6816,src/Stack/Package.hs,24,42,False,False
stack,c5d6816,src/Stack/Sig/GPG.hs,14,135,False,False
stack,c5d6816,src/Stack/Sig/Sign.hs,13,54,False,False
stack,c5d6816,src/Stack/Solver.hs,30,107,False,False
stack,c5d6816,src/Stack/Types/Sig.hs,9,40,False,False
stack,9a6f7c9,src/Stack/Docker.hs,1,1,False,False
stack,cfe51ad,src/Stack/Config.hs,2,2,False,False
stack,cfe51ad,src/Stack/Types/Config.hs,1,0,False,False
stack,e41e252,src/Stack/Init.hs,1,0,False,False
stack,48330b5,src/Stack/Nix.hs,1,1,False,False
stack,48330b5,src/main/Main.hs,1,1,False,False
stack,d1279e5,src/Stack/Config.hs,1,1,False,False
stack,d1279e5,src/Stack/Options.hs,2,2,False,False
stack,d1279e5,src/Stack/Types/Config.hs,2,0,False,False
stack,d1279e5,src/main/Main.hs,1,1,False,False
stack,e0f0994,src/main/Main.hs,1,1,False,False
stack,3d9e6d3,src/Stack/Config.hs,2,2,False,False
stack,3d9e6d3,src/Stack/Options.hs,2,1,False,False
stack,3d9e6d3,src/main/Main.hs,5,5,False,False
stack,b7bebea,src/Stack/Docker.hs,1,5,False,False
stack,b7bebea,src/Stack/Package.hs,1,1,False,False
stack,5c7a246,src/Stack/Build/Haddock.hs,1,2,False,False
